categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
subcompacto,fiat,uno,1.08v,vivace,m5,não,mecânica,flex,8.2,10.4,11.8,15.0,2015
subcompacto,kia,picanto,1.012v,ex4,m5,sim,elétrica,flex,8.2,9.8,12.0,14.4,2015
subcompacto,kia,picanto,1.012v,"lx4 1,0 mt ff",m5,sim,elétrica,flex,8.2,9.8,12.0,14.4,2015
subcompacto,kia,picanto,1.012v,ex4,a4,sim,elétrica,flex,8.3,9.4,11.4,13.1,2015
subcompacto,kia,picanto,1.012v,"lx4 1,0 at ff",a4,sim,elétrica,flex,8.3,9.4,11.4,13.1,2015
compacto,citroen,c3,1.58v,origine,m5,sim,elétrica,flex,7.5,9.3,11.9,14.7,2015
compacto,citroen,c3,1.58v,tendance,m5,sim,elétrica,flex,7.5,9.3,11.9,14.7,2015
compacto,citroen,c3,1.58v,exclusive,m5,sim,elétrica,flex,7.5,9.3,11.9,14.7,2015
compacto,citroen,c3,1.58v,attraction,m5,sim,elétrica,flex,7.5,9.3,11.9,14.7,2015
compacto,fiat,siena,1.08v,el,m5,não,mecânica,flex,8.0,9.7,11.9,14.4,2015
compacto,fiat,siena,1.48v,el,m5,sim,hidráulica,flex,7.1,8.8,10.6,13.2,2015
compacto,honda,fit,1.516v,dx,m5,sim,elétrica,flex,8.3,9.5,11.6,13.6,2015
compacto,honda,fit,1.516v,lx,m5,sim,elétrica,flex,8.3,9.5,11.6,13.6,2015
compacto,honda,fit,1.516v,dx,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2015
compacto,honda,fit,1.516v,lx,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2015
compacto,honda,fit,1.516v,ex,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2015
compacto,honda,fit,1.516v,exl,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2015
compacto,hyundai,hb20,1.012v,comfort,m5,sim,hidráulica,flex,8.3,9.8,11.8,14.0,2015
compacto,hyundai,hb20,1.012v,plus,m5,sim,hidráulica,flex,8.3,9.8,11.8,14.0,2015
compacto,hyundai,hb20,1.012v,style,m5,sim,hidráulica,flex,8.3,9.8,11.8,14.0,2015
compacto,hyundai,hb20,1.616v,comfort,m5,sim,hidráulica,flex,7.7,9.3,11.5,13.0,2015
compacto,hyundai,hb20,1.616v,plus,m5,sim,hidráulica,flex,7.7,9.3,11.5,13.0,2015
compacto,hyundai,hb20,1.616v,style,m5,sim,hidráulica,flex,7.7,9.3,11.5,13.0,2015
compacto,hyundai,hb20,1.616v,premium,m5,sim,hidráulica,flex,7.7,9.3,11.5,13.0,2015
compacto,peugeot,208,1.58v,active,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,active pack,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,allure,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,like,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,style,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.58v,quiksilver,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2015
compacto,peugeot,208,1.616v,griffe,m5,sim,elétrica,flex,7.1,8.9,10.6,12.9,2015
compacto,volkswagen,gol,1.08v,bluemotiontechnology,m5,não,hidráulica,flex,8.0,10.1,11.8,14.9,2015
compacto,volkswagen,gol,1.08v,special,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
compacto,volkswagen,gol,1.08v,city,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
compacto,volkswagen,gol,1.08v,trendline,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
compacto,volkswagen,gol,1.08v,comfortline,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
compacto,volkswagen,gol,1.68v,patrulheiro,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,city,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,trendline,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,comfortline,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,highline,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
compacto,volkswagen,gol,1.68v,comfortline imotion,mta5,sim,hidráulica,flex,7.3,9.5,10.7,13.6,2015
compacto,volkswagen,gol,1.68v,highline imotion,mta5,sim,hidráulica,flex,7.3,9.5,10.7,13.6,2015
compacto,volkswagen,gol,1.616v,rallye,m5,sim,hidráulica,flex,7.7,8.0,11.1,11.3,2015
compacto,volkswagen,gol,1.616v,rallye imotion,mta5,sim,hidráulica,flex,7.3,8.0,10.5,11.2,2015
compacto,volkswagen,gol,1.08v,rock in rio,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
médio,honda,city,1.516v,dx,m5,sim,elétrica,flex,8.6,10.3,12.4,14.6,2015
médio,honda,city,1.516v,lx,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2015
médio,honda,city,1.516v,ex,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2015
médio,honda,city,1.516v,exl,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2015
médio,hyundai,hb20s,1.012v,comfort,m5,sim,hidráulica,flex,8.6,10.0,12.3,14.4,2015
médio,hyundai,hb20s,1.012v,plus,m5,sim,hidráulica,flex,8.6,10.0,12.3,14.4,2015
médio,hyundai,hb20s,1.012v,style,m5,sim,hidráulica,flex,8.6,10.0,12.3,14.4,2015
médio,hyundai,hb20s,1.616v,comfort,m5,sim,hidráulica,flex,7.9,9.3,11.5,12.9,2015
médio,hyundai,hb20s,1.616v,plus,m5,sim,hidráulica,flex,7.9,9.3,11.5,12.9,2015
médio,hyundai,hb20s,1.616v,style,m5,sim,hidráulica,flex,7.9,9.3,11.5,12.9,2015
médio,nissan,versa,1.616v,s flex,m5,sim,elétrica,flex,7.8,9.3,11.7,13.9,2015
médio,nissan,versa,1.616v,sv flex,m5,sim,elétrica,flex,7.8,9.3,11.7,13.9,2015
médio,nissan,versa,1.616v,sl flex,m5,sim,elétrica,flex,7.8,9.3,11.7,13.9,2015
médio,volkswagen,voyage,1.08v,bluemotiontechnology,m5,não,hidráulica,flex,8.0,10.1,11.8,14.9,2015
médio,volkswagen,voyage,1.08v,city,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
médio,volkswagen,voyage,1.08v,trendline,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
médio,volkswagen,voyage,1.08v,comfortline,m5,sim,hidráulica,flex,7.7,9.6,11.6,13.9,2015
médio,volkswagen,voyage,1.68v,patrulheiro,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
médio,volkswagen,voyage,1.68v,city,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
médio,volkswagen,voyage,1.68v,trendline,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
médio,volkswagen,voyage,1.68v,comfortline,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
médio,volkswagen,voyage,1.68v,highline,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
médio,volkswagen,voyage,1.68v,evidence,m5,sim,hidráulica,flex,7.3,9.4,10.7,13.7,2015
médio,volkswagen,voyage,1.68v,comfortline imotion,mta5,sim,hidráulica,flex,7.3,9.5,10.7,13.6,2015
médio,volkswagen,voyage,1.68v,highline imotion,mta5,sim,hidráulica,flex,7.3,9.5,10.7,13.6,2015
médio,volkswagen,voyage,1.68v,evidence imotion,mta5,sim,hidráulica,flex,7.3,9.5,10.7,13.6,2015
grande,honda,civic,1.816v,lxs,a5,sim,elétrica,flex,6.8,9.6,10.5,14.4,2015
grande,honda,civic,1.816v,lxs,m6,sim,elétrica,flex,7.2,9.2,10.9,13.5,2015
grande,honda,civic,2.016v,lxr,a5,sim,elétrica,flex,6.4,9.4,9.7,13.8,2015
grande,honda,civic,2.016v,exr,a5,sim,elétrica,flex,6.4,9.4,9.7,13.8,2015
grande,honda,civic,2.416v,coupe si,m6,sim,elétrica,gasolina,0.0,0.0,8.3,11.6,2015
grande,toyota,corolla,1.816v,gli,m6,sim,elétrica,flex,7.3,9.1,10.7,13.2,2015
grande,toyota,corolla,1.816v,gli,contínua,sim,elétrica,flex,7.8,9.2,11.4,13.2,2015
grande,toyota,corolla,2.016v,altis,contínua,sim,elétrica,flex,7.2,8.8,10.6,12.6,2015
grande,toyota,corolla,2.016v,xei,contínua,sim,elétrica,flex,7.2,8.8,10.6,12.6,2015
microcompacto,fiat,mobi,1.08v,way,m5,sim,hidráulica,flex,8.4,9.2,11.9,13.3,2016
microcompacto,fiat,mobi,1.08v,way on,m5,sim,hidráulica,flex,8.4,9.2,11.9,13.3,2016
microcompacto,fiat,mobi,1.08v,easy,m5,não,mecânica,flex,8.7,10.1,12.7,14.7,2016
microcompacto,fiat,mobi,1.08v,easy on,m5,sim,hidráulica,flex,8.4,9.2,11.9,13.3,2016
microcompacto,fiat,mobi,1.08v,like,m5,sim,hidráulica,flex,8.4,9.2,11.9,13.3,2016
microcompacto,fiat,mobi,1.08v,like on,m5,sim,hidráulica,flex,8.4,9.2,11.9,13.3,2016
microcompacto,kia,picanto,1.012v,ex4,a4,sim,elétrica,flex,8.0,8.9,10.6,12.1,2016
microcompacto,kia,picanto,1.012v,lx4,a4,sim,elétrica,flex,8.0,8.9,10.6,12.1,2016
microcompacto,kia,picanto,1.012v,ex4,m5,sim,elétrica,flex,8.2,10.0,11.7,14.3,2016
microcompacto,kia,picanto,1.012v,lx4,m5,sim,elétrica,flex,8.2,10.0,11.7,14.3,2016
subcompacto,fiat,uno,1.08v,vivace,m5,não,mecânica,flex,8.2,10.4,11.8,15.0,2016
compacto,chevrolet,onix,1.08v,ls,m5,sim,hidráulica,flex,7.8,9.2,11.5,13.5,2016
compacto,chevrolet,onix,1.08v,lt,m5,sim,hidráulica,flex,7.8,9.2,11.5,13.5,2016
compacto,chevrolet,onix,1.48v,lt,a6,sim,hidráulica,flex,6.9,8.5,9.9,12.2,2016
compacto,chevrolet,onix,1.48v,ltz,a6,sim,hidráulica,flex,6.9,8.5,9.9,12.2,2016
compacto,chevrolet,onix,1.48v,lt,m5,sim,hidráulica,flex,7.9,9.6,11.5,13.6,2016
compacto,chevrolet,onix,1.48v,ltz,m5,sim,hidráulica,flex,7.9,9.6,11.5,13.6,2016
compacto,chevrolet,onix,1.48v,eff,m5,sim,hidráulica,flex,7.9,9.6,11.5,13.6,2016
compacto,citroen,c3,1.212v,origine,m5,sim,elétrica,flex,10.6,11.3,14.8,16.6,2016
compacto,citroen,c3,1.212v,attraction,m5,sim,elétrica,flex,10.6,11.3,14.8,16.6,2016
compacto,citroen,c3,1.212v,tendance,m5,sim,elétrica,flex,10.6,11.3,14.8,16.6,2016
compacto,citroen,c3,1.212v,style,m5,sim,elétrica,flex,10.6,11.3,14.8,16.6,2016
compacto,citroen,c3,1.58v,origine,m5,sim,elétrica,flex,8.0,10.0,11.8,14.6,2016
compacto,citroen,c3,1.58v,attraction,m5,sim,elétrica,flex,8.0,10.0,11.8,14.6,2016
compacto,citroen,c3,1.58v,tendance,m5,sim,elétrica,flex,8.0,10.0,11.8,14.6,2016
compacto,citroen,c3,1.616v,exclusive,a4,sim,elétrica,flex,7.9,8.8,11.0,12.6,2016
compacto,citroen,c3,1.616v,tendance,a4,sim,elétrica,flex,7.9,8.8,11.0,12.6,2016
compacto,citroen,c3,1.616v,style,a4,sim,elétrica,flex,7.9,8.8,11.0,12.6,2016
compacto,fiat,siena,1.08v,el,m5,não,hidráulica,flex,8.1,9.8,11.5,14.1,2016
compacto,fiat,siena,1.48v,el,m5,sim,hidráulica,flex,7.3,8.5,10.8,12.5,2016
compacto,ford,ka,1.516v,se,m5,sim,elétrica,flex,7.9,9.5,11.5,13.6,2016
compacto,ford,ka,1.516v,sel,m5,sim,elétrica,flex,7.9,9.5,11.5,13.6,2016
compacto,ford,ka,1.012v,se,m5,sim,elétrica,flex,8.9,10.4,13.0,15.1,2016
compacto,ford,ka,1.012v,sel,m5,sim,elétrica,flex,8.9,10.4,13.0,15.1,2016
compacto,honda,fit,1.516v,dx,m5,sim,elétrica,flex,8.3,9.5,11.6,13.6,2016
compacto,honda,fit,1.516v,lx,m5,sim,elétrica,flex,8.3,9.5,11.6,13.6,2016
compacto,honda,fit,1.516v,dx,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2016
compacto,honda,fit,1.516v,lx,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2016
compacto,honda,fit,1.516v,ex,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2016
compacto,honda,fit,1.516v,exl,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2016
compacto,hyundai,hb20,1.012v,comfort,m5,sim,hidráulica,flex,8.5,9.9,12.5,14.1,2016
compacto,hyundai,hb20,1.012v,plus,m5,sim,hidráulica,flex,8.5,9.9,12.5,14.1,2016
compacto,hyundai,hb20,1.012v,style,m5,sim,hidráulica,flex,8.5,9.9,12.5,14.1,2016
compacto,hyundai,hb20,1.616v,plus,a6,sim,hidráulica,flex,7.1,9.4,9.9,12.5,2016
compacto,hyundai,hb20,1.616v,style,a6,sim,hidráulica,flex,7.1,9.4,9.9,12.5,2016
compacto,hyundai,hb20,1.616v,premium,a6,sim,hidráulica,flex,7.1,9.4,9.9,12.5,2016
compacto,hyundai,hb20,1.616v,r spec,a6,sim,hidráulica,flex,7.1,9.4,9.9,12.5,2016
compacto,hyundai,hb20,1.616v,plus,m6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2016
compacto,hyundai,hb20,1.616v,style,m6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2016
compacto,hyundai,hb20,1.616v,premium,m6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2016
compacto,hyundai,hb20,1.616v,r spec,m6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2016
compacto,hyundai,hb20,1.012v,plus turbo,m6,sim,hidráulica,flex,8.2,10.1,11.6,14.3,2016
compacto,hyundai,hb20,1.012v,style turbo,m6,sim,hidráulica,flex,8.2,10.1,11.6,14.3,2016
compacto,peugeot,208,1.212v,active,m5,sim,elétrica,flex,10.9,11.7,15.1,16.9,2016
compacto,peugeot,208,1.212v,act pack,m5,sim,elétrica,flex,10.9,11.7,15.1,16.9,2016
compacto,peugeot,208,1.212v,allure,m5,sim,elétrica,flex,10.9,11.7,15.1,16.9,2016
compacto,peugeot,208,1.58v,active,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2016
compacto,peugeot,208,1.58v,active pack,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2016
compacto,peugeot,208,1.58v,allure,m5,sim,elétrica,flex,8.0,9.6,11.6,14.3,2016
compacto,peugeot,208,1.616v,griffe,m5,sim,elétrica,flex,7.1,8.9,10.6,12.9,2016
compacto,peugeot,208,1.616v,sport,m5,sim,elétrica,flex,8.5,10.0,12.3,14.0,2016
compacto,peugeot,208,1.616v,griffe,m5,sim,elétrica,flex,8.5,10.0,12.3,14.0,2016
compacto,peugeot,208,1.616v,allure,a4,sim,elétrica,flex,8.1,9.1,11.7,13.0,2016
compacto,peugeot,208,1.616v,griffe,a4,sim,elétrica,flex,8.1,9.1,11.7,13.0,2016
compacto,peugeot,208,1.616v,gt thp,m6,sim,elétrica,flex,8.2,9.5,12.0,13.8,2016
compacto,renault,sandero,1.016v,authentique,m5,sim,hidráulica,flex,8.7,9.6,12.6,14.0,2016
compacto,renault,sandero,1.016v,expression,m5,sim,hidráulica,flex,8.7,9.6,12.6,14.0,2016
compacto,renault,sandero,1.68v,dynamique,m5,sim,hidráulica,flex,7.5,8.7,10.7,12.4,2016
compacto,renault,sandero,1.68v,expression,m5,sim,hidráulica,flex,7.5,8.7,10.7,12.4,2016
compacto,renault,sandero,1.68v,gt line,m5,sim,hidráulica,flex,7.5,8.7,10.7,12.4,2016
compacto,volkswagen,gol,1.616v,rallye (imotion),mta5,sim,hidráulica,flex,7.0,7.5,9.9,11.1,2016
compacto,volkswagen,gol,1.68v,comfortline,m5,sim,hidráulica,flex,7.8,9.5,11.1,13.6,2016
compacto,volkswagen,gol,1.68v,highline,m5,sim,hidráulica,flex,7.8,9.5,11.1,13.6,2016
compacto,volkswagen,gol,1.68v,trendline,m5,sim,hidráulica,flex,7.9,9.7,11.5,14.0,2016
médio,chevrolet,spin,1.88v,activ (5l),a6,sim,hidráulica,flex,5.9,7.5,9.0,10.9,2016
médio,chevrolet,spin,1.88v,lt (5l),a6,sim,hidráulica,flex,5.9,7.4,8.9,10.8,2016
médio,chevrolet,spin,1.88v,lt advantage(5l),a6,sim,hidráulica,flex,5.9,7.4,8.9,10.8,2016
médio,chevrolet,spin,1.88v,(5l),m5,sim,hidráulica,flex,6.5,7.4,9.2,10.8,2016
médio,chevrolet,spin,1.88v,lt (5l),m5,sim,hidráulica,flex,6.5,7.4,9.2,10.8,2016
médio,chevrolet,spin,1.88v,lt advantage(5l),m5,sim,hidráulica,flex,6.5,7.4,9.2,10.8,2016
médio,honda,city,1.516v,dx,m5,sim,elétrica,flex,8.6,10.3,12.4,14.6,2016
médio,honda,city,1.516v,lx,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2016
médio,honda,city,1.516v,ex,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2016
médio,honda,city,1.516v,exl,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2016
médio,hyundai,hb20s,1.012v,plus,m5,sim,hidráulica,flex,8.5,9.4,11.4,13.0,2016
médio,hyundai,hb20s,1.012v,style,m5,sim,hidráulica,flex,8.5,9.4,11.4,13.0,2016
médio,hyundai,hb20s,1.616v,plus,m6,sim,hidráulica,flex,7.7,9.6,10.7,12.6,2016
médio,hyundai,hb20s,1.616v,style,m6,sim,hidráulica,flex,7.7,9.6,10.7,12.6,2016
médio,hyundai,hb20s,1.616v,premium,m6,sim,hidráulica,flex,7.7,9.6,10.7,12.6,2016
médio,hyundai,hb20s,1.012v,plus  turbo,m6,sim,hidráulica,flex,8.4,10.5,11.9,15.2,2016
médio,hyundai,hb20s,1.012v,style  turbo,m6,sim,hidráulica,flex,8.4,10.5,11.9,15.2,2016
médio,renault,logan,1.016v,authentique,m5,sim,hidráulica,flex,7.2,9.1,10.5,13.1,2016
médio,renault,logan,1.016v,expression,m5,sim,hidráulica,flex,7.2,9.1,10.5,13.1,2016
médio,renault,logan,1.68v,dynamique,m5,sim,hidráulica,flex,7.5,8.7,10.7,12.6,2016
médio,renault,logan,1.68v,expression,m5,sim,hidráulica,flex,7.5,8.7,10.7,12.6,2016
médio,renault,logan,1.68v,dynamique,mta5,sim,hidráulica,flex,6.2,8.9,9.6,12.8,2016
médio,renault,logan,1.68v,expression,mta5,sim,hidráulica,flex,6.2,8.9,9.6,12.8,2016
grande,honda,civic,2.416v,coupe si,m6,sim,elétrica,gasolina,0.0,0.0,8.3,11.6,2016
grande,honda,civic,2.016v,lxr,a5,sim,elétrica,flex,6.4,9.4,9.7,13.8,2016
grande,honda,civic,2.016v,exr,a5,sim,elétrica,flex,6.4,9.4,9.7,13.8,2016
grande,honda,civic,1.816v,lxs,a5,sim,elétrica,flex,6.8,9.6,10.5,14.4,2016
grande,honda,civic,1.816v,lxs,m6,sim,elétrica,flex,7.2,9.2,10.9,13.5,2016
grande,honda,civic,2.016v,ex,contínua,sim,elétrica,flex,7.2,8.9,10.6,12.9,2016
